geo,time,linear_tv_impression,linear_tv_spend,ctv_impression,ctv_spend,walmart_connect_impression,walmart_connect_spend,amazon_ads_impression,amazon_ads_spend,meta_impression,meta_spend,tiktok_impression,tiktok_spend,google_search_impression,google_search_spend,Organic_search_impression,pollen_index_control,competitor_spend_control,price_index_control,Promo,units,revenue_per_unit,population
New York,2023-03-26,3244109.9,58393.98,873372.0,29694.65,1744611.4,20935.34,2522414.2,27746.56,2902607.9,26123.47,1442622.5,10098.36,265990.5,21279.24,1681094.2,0.8413,1.5139,1.0128,0.0,62152.22,21.7748,20100000
New York,2023-04-02,4259182.8,76665.29,953949.2,32434.27,1448794.1,17385.53,2638408.2,29022.49,2585095.1,23265.86,1520152.4,10641.07,255785.4,20462.83,1834854.5,0.9059,1.5341,1.0029,0.0,63036.98,21.5615,20100000
New York,2023-04-09,3709099.0,66763.78,837319.3,28468.85,1477991.9,17735.9,2387560.9,26263.17,2349266.1,21143.39,1288483.9,9019.39,324744.1,25979.53,1878284.2,0.9465,1.3592,1.0133,0.0,70779.8,21.7856,20100000
New York,2023-04-16,3793467.8,68282.42,795804.0,27057.34,1659503.1,19914.04,1988335.2,21871.69,3037974.6,27341.77,1590138.8,11130.97,270608.8,21648.71,2066519.6,0.9577,1.4415,0.9865,0.0,67915.45,21.2099,20100000
New York,2023-04-23,4155986.1,74807.75,940279.8,31969.51,1588001.5,19056.02,2117901.1,23296.91,3089749.4,27807.74,1348571.0,9440.0,289626.0,23170.08,1854953.6,0.9378,1.3781,0.9333,1.0,76140.01,20.0664,20100000
New York,2023-04-30,3298754.8,59377.59,756122.7,25708.17,1783784.9,21405.42,2562673.4,28189.41,3142792.8,28285.13,1413054.5,9891.38,283960.6,22716.85,1839793.4,0.8895,1.4362,1.0088,0.0,62241.12,21.6893,20100000
New York,2023-05-07,3294040.2,59292.72,846511.2,28781.38,1791456.4,21497.48,2452448.7,26976.94,2709809.9,24388.29,1369894.0,9589.26,243325.6,19466.05,1820203.9,0.8195,1.3845,1.0021,0.0,61129.0,21.5448,20100000
New York,2023-05-14,2980010.6,53640.19,816581.9,27763.79,1295755.7,15549.07,1894326.8,20837.6,2760367.3,24843.31,1625989.9,11381.93,234008.0,18720.64,1777013.1,0.7364,1.3945,1.0127,0.0,58109.04,21.7735,20100000
New York,2023-05-21,2822613.9,50807.05,732052.1,24889.77,1481406.1,17776.87,1649992.3,18149.92,2026774.1,18240.97,1147336.7,8031.36,199972.8,15997.82,1442167.2,0.6495,1.014,0.9864,0.0,54958.17,21.2085,20100000
New York,2023-05-28,3044999.2,54809.99,720836.5,24508.44,1073264.5,12879.17,1730825.8,19039.08,2312993.3,20816.94,1300857.0,9106.0,191846.1,15347.68,1425126.8,0.5669,0.947,0.9826,0.0,54666.4,21.1249,20100000
New York,2023-06-04,2665161.7,47972.91,672334.1,22859.36,1334249.2,16010.99,1718214.5,18900.36,2071247.7,18641.23,1357603.6,9503.23,208219.6,16657.57,1256901.2,0.4946,0.9788,0.9881,0.0,50710.31,21.2448,20100000
New York,2023-06-11,2211174.2,39801.14,694593.9,23616.19,1071922.9,12863.07,1786264.4,19648.91,1619292.1,14573.63,1089526.6,7626.69,224624.1,17969.93,1383382.9,0.4358,0.9896,0.9971,0.0,47428.92,21.4371,20100000
New York,2023-06-18,2464018.6,44352.33,622449.3,21163.28,1030300.1,12363.6,1680115.2,18481.27,1690251.3,15212.26,1494856.8,10464.0,172864.7,13829.17,1223544.9,0.3916,1.0179,1.0184,0.0,45896.71,21.896,20100000
New York,2023-06-25,2493055.0,44874.99,596966.5,20296.86,1020369.6,12244.44,1486345.1,16349.8,1968543.9,17716.9,1222675.6,8558.73,169412.6,13553.01,1169851.8,0.3616,0.9175,0.9883,0.0,42675.68,21.2481,20100000
New York,2023-07-02,2629895.1,47338.11,492938.7,16759.92,995170.1,11942.04,1462038.6,16082.42,1969691.2,17727.22,1251628.3,8761.4,198995.3,15919.62,1055818.5,0.3447,0.8308,0.9358,1.0,50293.31,20.12,20100000
New York,2023-07-09,1990759.5,35833.67,490557.7,16678.96,1140521.4,13686.26,1334241.7,14676.66,1894817.9,17053.36,1520482.7,10643.38,210407.6,16832.6,1252244.7,0.34,0.807,1.0023,0.0,43342.48,21.549,20100000
New York,2023-07-16,2116257.0,38092.63,636561.3,21643.08,929908.9,11158.91,1322059.0,14542.65,1665996.7,14993.97,1521330.8,10649.32,201662.6,16133.01,1081301.0,0.3473,0.899,0.9443,1.0,46001.32,20.3021,20100000
New York,2023-07-23,2583445.6,46502.02,653911.8,22233.0,1221117.8,14653.41,1507830.2,16586.13,1967821.6,17710.39,1466029.2,10262.2,213786.3,17102.91,1110132.8,0.367,0.8012,1.0197,0.0,44306.38,21.9232,20100000
New York,2023-07-30,2214377.2,39858.79,539681.0,18349.15,1238511.5,14862.14,1749560.3,19245.16,2078388.6,18705.5,1202216.1,8415.51,173708.9,13896.71,1331656.5,0.3992,0.8672,1.0045,0.0,48601.58,21.5975,20100000
New York,2023-08-06,2463779.4,44348.03,570672.7,19402.87,1230319.6,14763.84,1708616.0,18794.78,1839566.1,16556.09,1400409.3,9802.87,183355.4,14668.43,1373475.5,0.4436,0.859,1.0124,0.0,47187.88,21.7666,20100000
New York,2023-08-13,2944202.0,52995.64,634263.5,21564.96,1253711.6,15044.54,1601236.7,17613.6,2326073.4,20934.66,1317628.7,9223.4,182845.4,14627.64,1413903.3,0.4977,0.9391,0.9925,0.0,49186.48,21.3387,20100000
New York,2023-08-20,3219948.4,57959.07,551875.9,18763.78,1228008.3,14736.1,1968502.8,21653.53,1756474.0,15808.27,1431222.4,10018.56,234945.7,18795.66,1452144.9,0.5568,1.097,1.0188,0.0,50810.37,21.9045,20100000
New York,2023-08-27,2547928.2,45862.71,736303.5,25034.32,1236612.6,14839.35,1559715.7,17156.87,2043437.9,18390.94,1151994.0,8063.96,243061.7,19444.93,1638213.0,0.6137,1.2056,0.9822,0.0,55466.23,21.1167,20100000
New York,2023-09-03,2996551.5,53937.93,627911.9,21349.01,1202663.3,14431.96,1695159.4,18646.75,2486543.7,22378.89,1606950.8,11248.66,277694.8,22215.59,1342986.6,0.6602,1.1169,1.0021,0.0,52515.41,21.5441,20100000
New York,2023-09-10,2793081.6,50275.47,634079.0,21558.69,1354363.6,16252.36,1893469.6,20828.17,2315044.0,20835.4,1523489.3,10664.43,260989.7,20879.18,1534918.5,0.6886,1.085,1.0018,0.0,60416.97,21.5379,20100000
New York,2023-09-17,3300800.3,59414.41,795425.1,27044.45,1210502.1,14526.03,1837637.0,20214.01,2249938.3,20249.44,1260021.2,8820.15,249966.6,19997.33,1695493.3,0.6938,1.1824,0.9956,0.0,53597.68,21.4049,20100000
New York,2023-09-24,3195182.1,57513.28,630014.8,21420.5,1531941.5,18383.3,1937811.1,21315.92,2288801.6,20599.21,1269585.2,8887.1,243366.4,19469.31,1363630.5,0.6749,1.0498,0.9963,0.0,54310.72,21.4215,20100000
New York,2023-10-01,2527884.2,45501.91,740888.4,25190.2,1258707.0,15104.48,2050804.9,22558.85,1935785.7,17422.07,1324115.3,9268.81,207866.6,16629.33,1553754.3,0.6353,1.0509,0.9915,0.0,52933.4,21.3183,20100000
New York,2023-10-08,2591013.1,46638.24,692866.3,23557.46,1511378.6,18136.54,2151680.9,23668.49,2087591.8,18788.33,1243523.4,8704.66,258977.3,20718.19,1371792.2,0.5817,1.1606,0.997,0.0,48288.79,21.4365,20100000
New York,2023-10-15,2722485.3,49004.73,748790.0,25458.86,1088306.7,13059.68,2037345.0,22410.8,1911458.1,17203.12,1100794.3,7705.56,197582.7,15806.61,1209114.9,0.5224,1.0496,0.9871,0.0,45831.35,21.2226,20100000
New York,2023-10-22,2367795.0,42620.31,517096.7,17581.29,1086009.5,13032.11,1652721.1,18179.93,1828927.9,16460.35,1446163.0,10123.14,220658.0,17652.64,1360231.4,0.4649,0.9067,0.9907,0.0,47935.69,21.2992,20100000
New York,2023-10-29,2753139.1,49556.5,497413.8,16912.07,1087240.2,13046.88,1592493.7,17517.43,1653654.6,14882.89,1246670.3,8726.69,203372.1,16269.77,1202286.7,0.4149,0.9711,0.985,0.0,47948.43,21.1782,20100000
New York,2023-11-05,2537729.7,45679.13,644865.6,21925.43,1178793.7,14145.52,1811587.8,19927.47,1796136.9,16165.23,1538998.0,10772.99,212350.4,16988.03,1124109.9,0.3752,0.8914,1.0029,0.0,44983.76,21.5627,20100000
New York,2023-11-12,2475071.8,44551.29,633953.6,21554.42,1020047.1,12240.57,1565066.9,17215.74,1768551.6,15916.96,1276675.1,8936.73,195635.1,15650.81,1029890.7,0.3462,0.7656,1.0023,0.0,40550.75,21.5498,20100000
New York,2023-11-19,2310295.8,41585.32,498451.7,16947.36,1043734.6,12524.82,1428573.1,15714.3,1721489.3,15493.4,1098202.7,7687.42,188123.8,15049.9,948687.1,0.3267,0.8892,0.9353,1.0,43900.33,20.1095,20100000
New York,2023-11-26,2170286.9,39065.16,615472.2,20926.05,1185654.6,14227.86,1592540.1,17517.94,1961770.2,17655.93,1387642.3,9713.5,170771.9,13661.76,1119510.5,0.3145,0.8867,0.9996,0.0,36853.59,21.4916,20100000
New York,2023-12-03,2189418.4,39409.53,451434.5,15348.77,1219504.5,14634.05,1378614.0,15164.75,1625453.2,14629.08,1381159.7,9668.12,203926.8,16314.15,983179.1,0.3074,0.8328,1.0042,0.0,40759.13,21.5899,20100000
New York,2023-12-10,2599184.2,46785.32,620163.7,21085.57,910163.3,10921.96,1211858.2,13330.44,1645922.7,14813.3,1415750.6,9910.25,168043.8,13443.5,1060312.4,0.3035,0.7012,0.9984,0.0,41462.32,21.4658,20100000
New York,2023-12-17,2456332.3,44213.98,582029.3,19789.0,1166101.7,13993.22,1583102.7,17414.13,1780604.1,16025.44,1483461.1,10384.23,175127.1,14010.17,1162079.3,0.3016,0.9075,0.982,0.0,41128.26,21.1134,20100000
New York,2023-12-24,2701064.2,48619.15,538182.8,18298.21,917880.8,11014.57,1448617.4,15934.79,1537647.1,13838.82,1341895.5,9393.27,164707.9,13176.64,1070581.7,0.3007,0.7107,1.0197,0.0,39537.71,21.9236,20100000
New York,2023-12-31,2652174.0,47739.13,455386.9,15483.15,1073720.9,12884.65,1638824.8,18027.07,1628628.7,14657.66,1134826.6,7943.79,207098.3,16567.86,1160294.7,0.3003,0.9114,1.0033,0.0,40646.75,21.5704,20100000
New York,2024-01-07,2653386.5,47760.96,593549.8,20180.69,1122341.3,13468.1,1523173.5,16754.91,1988223.9,17894.01,1505716.4,10540.01,188874.7,15109.97,1093809.5,0.306,0.9242,0.9984,0.0,41922.78,21.4665,20100000
New York,2024-01-14,1923537.3,34623.67,606144.0,20608.9,1221569.5,14658.83,1294026.0,14234.29,1958475.0,17626.28,1288768.1,9021.38,149004.9,11920.39,1124158.4,0.3115,0.794,1.0094,0.0,40065.46,21.703,20100000
New York,2024-01-21,2683818.3,48308.73,517931.1,17609.66,967740.7,11612.89,1697860.8,18676.47,1995357.2,17958.21,1516718.1,10617.03,163730.5,13098.44,1079465.6,0.321,0.7186,0.9908,0.0,42605.35,21.3016,20100000
New York,2024-01-28,2106947.8,37925.06,517816.0,17605.74,1176066.4,14112.8,1757448.5,19331.93,1932860.9,17395.75,1476957.4,10338.7,200718.2,16057.45,1173803.2,0.3364,0.7612,1.0011,0.0,45361.54,21.5226,20100000
New York,2024-02-04,2422519.9,43605.36,508996.4,17305.88,1244444.3,14933.33,1679153.1,18470.68,1859636.5,16736.73,1333517.9,9334.63,186083.5,14886.68,1070290.2,0.3601,0.9155,0.9925,0.0,45414.84,21.3384,20100000
New York,2024-02-11,2853429.0,51361.72,678546.1,23070.57,1055933.1,12671.2,1337431.7,14711.75,1722272.9,15500.46,1533684.9,10735.79,168349.3,13467.94,1337542.8,0.3947,0.8224,1.0171,0.0,43573.16,21.8675,20100000
New York,2024-02-18,2996896.0,53944.13,519934.3,17677.77,1276540.7,15318.49,1802320.4,19825.52,2120715.0,19086.44,1472722.0,10309.05,171785.5,13742.84,1145422.3,0.4423,0.8568,0.944,1.0,50793.71,20.2955,20100000
New York,2024-02-25,2556071.3,46009.28,524019.8,17816.67,1232107.9,14785.29,1464044.4,16104.49,2410986.6,21698.88,1193229.6,8352.61,220927.5,17674.2,1339433.0,0.5037,0.8614,0.9958,0.0,47170.97,21.4093,20100000
New York,2024-03-03,3418870.9,61539.68,580013.9,19720.47,1531238.6,18374.86,1609059.3,17699.65,1958704.6,17628.34,1325546.9,9278.83,200782.9,16062.63,1360078.0,0.5781,0.9939,0.9944,0.0,51914.48,21.38,20100000
New York,2024-03-10,2980438.3,53647.89,805058.8,27372.0,1162481.9,13949.78,2296474.4,25261.22,1970000.5,17730.0,1355614.9,9489.3,241403.3,19312.26,1754041.0,0.6618,1.1878,1.0058,0.0,58122.8,21.6243,20100000
New York,2024-03-17,3186525.8,57357.46,706832.3,24032.3,1505387.1,18064.65,2121393.1,23335.32,2126710.0,19140.39,1582857.5,11080.0,263823.1,21105.85,1730786.4,0.7487,1.2946,0.9645,1.0,66303.59,20.7377,20100000
New York,2024-03-24,3681555.0,66267.99,718564.4,24431.19,1661285.5,19935.43,1798421.0,19782.63,2573015.5,23157.14,1301341.7,9109.39,310650.5,24852.04,1882664.3,0.8305,1.1986,1.0158,0.0,65989.7,21.8402,20100000
New York,2024-03-31,3445488.3,62018.79,767626.6,26099.3,1346552.3,16158.63,2221755.9,24439.31,2464025.4,22176.23,1483293.3,10383.05,266323.5,21305.88,1823199.8,0.8979,1.3795,0.9987,0.0,63047.64,21.4721,20100000
New York,2024-04-07,3683540.1,66303.72,833496.9,28338.9,1781728.8,21380.75,2026157.6,22287.73,2702799.4,24325.19,1597609.6,11183.27,318848.4,25507.87,2002957.0,0.9424,1.5014,1.0186,0.0,69863.96,21.8989,20100000
New York,2024-04-14,3820543.1,68769.78,740680.5,25183.14,1452373.5,17428.48,2093806.9,23031.88,2855572.7,25700.15,1335602.5,9349.22,246081.5,19686.52,1991200.5,0.958,1.6602,0.9904,0.0,67214.85,21.2933,20100000
New York,2024-04-21,4121084.8,74179.53,884813.7,30083.66,1464264.3,17571.17,1960952.9,21570.48,3226267.3,29036.41,1229369.7,8605.59,312990.1,25039.21,2083634.3,0.9424,1.5617,0.9466,1.0,77387.66,20.3529,20100000
New York,2024-04-28,3365915.1,60586.47,722982.7,24581.41,1891632.2,22699.59,2650079.2,29150.87,2334670.6,21012.04,1565709.0,10959.96,300459.3,24036.74,1818682.1,0.8979,1.3746,0.9921,0.0,69151.02,21.3299,20100000
New York,2024-05-05,3120401.6,56167.23,731085.6,24856.91,1545867.4,18550.41,2416591.4,26582.51,2774907.9,24974.17,1328700.2,9300.9,302494.6,24199.57,1773652.0,0.8305,1.1417,0.9317,1.0,67357.88,20.031,20100000
New York,2024-05-12,3628327.5,65309.9,669793.4,22772.98,1529921.4,18359.06,1704908.9,18754.0,2460340.9,22143.07,1176763.0,8237.34,229899.0,18391.92,1737587.8,0.7487,1.3656,1.0014,0.0,56125.02,21.5291,20100000
New York,2024-05-19,3515650.4,63281.71,770248.2,26188.44,1159913.4,13918.96,1626959.1,17896.55,2024257.2,18218.32,1237421.1,8661.95,267203.5,21376.28,1382267.9,0.6618,1.2169,0.9942,0.0,54375.94,21.3748,20100000
New York,2024-05-26,2939267.0,52906.81,572961.5,19480.69,1224445.6,14693.35,1528972.8,16818.7,2533039.6,22797.36,1220893.6,8546.25,264129.3,21130.34,1521602.5,0.5782,0.9992,0.9404,1.0,61438.62,20.2177,20100000
New York,2024-06-02,2594310.7,46697.59,717167.8,24383.71,1326288.4,15915.46,1476206.6,16238.27,2273228.2,20459.05,1105263.6,7736.85,183094.2,14647.54,1492482.6,0.5041,1.0963,1.006,0.0,48982.32,21.6294,20100000
New York,2024-06-09,2942991.4,52973.85,594373.9,20208.71,968872.4,11626.47,1537573.2,16913.31,2248919.8,20240.28,1315435.7,9208.05,166825.6,13346.05,1284887.9,0.4433,0.8837,0.9851,0.0,47076.38,21.1804,20100000
New York,2024-06-16,2192354.7,39462.39,627031.9,21319.08,1292423.9,15509.09,1801169.6,19812.87,1834888.0,16513.99,1452081.4,10164.57,195013.8,15601.11,1230954.2,0.397,0.794,0.9496,1.0,53776.46,20.4169,20100000
New York,2024-06-23,2029162.0,36524.92,533709.1,18146.11,1081146.8,12973.76,1450441.5,15954.86,2070747.9,18636.73,1388391.9,9718.74,175322.3,14025.78,1165665.6,0.365,0.8483,0.9897,0.0,43323.01,21.2788,20100000
New York,2024-06-30,2171234.3,39082.22,537545.7,18276.55,1182575.4,14190.9,1287973.8,14167.71,1856210.4,16705.89,1086558.4,7605.91,183236.8,14658.95,1325752.0,0.3463,0.7785,0.998,0.0,45219.94,21.4577,20100000
New York,2024-07-07,2085797.4,37544.35,517343.4,17589.68,1158374.6,13900.5,1661564.0,18277.2,1819502.2,16375.52,1158669.4,8110.69,153679.7,12294.38,1157896.4,0.3399,0.7945,1.0199,0.0,38493.09,21.9272,20100000
New York,2024-07-14,2767479.8,49814.64,600935.1,20431.79,1250738.5,15008.86,1622683.8,17849.52,1817300.1,16355.7,1205334.0,8437.34,182275.0,14582.0,1157749.3,0.3456,0.7887,0.9892,0.0,43442.45,21.2668,20100000
New York,2024-07-21,2024811.8,36446.61,518072.7,17614.47,1188870.0,14266.44,1740673.3,19147.41,1552265.0,13970.39,1453193.5,10172.35,183325.4,14666.03,1060165.3,0.3634,0.9641,0.9883,0.0,43606.62,21.248,20100000
New York,2024-07-28,2090129.7,37622.33,535803.0,18217.3,1177146.5,14125.76,1335071.5,14685.79,1854242.1,16688.18,1368722.6,9581.06,203520.5,16281.64,1103070.2,0.3939,0.8173,0.9986,0.0,40670.69,21.4691,20100000
New York,2024-08-04,2520489.9,45368.82,701630.3,23855.43,1206021.4,14472.26,1842137.4,20263.51,2259544.1,20335.9,1127940.4,7895.58,234138.3,18731.06,1135451.3,0.4366,1.0051,1.0024,0.0,49489.01,21.5506,20100000
New York,2024-08-11,3073128.7,55316.32,669625.2,22767.26,1418308.4,17019.7,1915353.1,21068.88,1952541.0,17572.87,1211792.4,8482.55,214419.8,17153.59,1380265.0,0.4895,1.0231,1.0125,0.0,47561.32,21.7678,20100000
New York,2024-08-18,3036920.9,54664.58,663157.1,22547.34,1371116.0,16453.39,1476325.1,16239.58,1887926.1,16991.34,1525504.1,10678.53,218974.3,17517.94,1524938.3,0.5483,1.1354,1.0075,0.0,52856.66,21.6608,20100000
New York,2024-08-25,3113744.5,56047.4,650682.4,22123.2,1310859.7,15730.32,1892604.9,20818.65,2226016.1,20034.14,1590268.2,11131.88,194196.1,15535.69,1498887.7,0.606,1.0557,0.9891,0.0,52081.1,21.266,20100000
New York,2024-09-01,3210640.2,57791.52,726535.8,24702.22,1288769.1,15465.23,2156828.3,23725.11,2513789.4,22624.1,1331034.4,9317.24,210026.9,16802.15,1560317.6,0.6545,0.9895,0.9865,0.0,53544.67,21.2087,20100000
New York,2024-09-08,2799694.1,50394.49,786816.1,26751.75,1238632.3,14863.59,1941584.7,21357.43,2338267.4,21044.41,1238930.4,8672.51,208383.6,16670.69,1506264.5,0.6859,1.183,1.0055,0.0,56130.69,21.6184,20100000
New York,2024-09-15,3333017.7,59994.32,783440.0,26636.96,1415406.2,16984.87,1803068.6,19833.75,2621556.2,23594.01,1166227.8,8163.59,261911.0,20952.88,1549971.7,0.6946,1.0853,1.0004,0.0,55381.44,21.509,20100000
New York,2024-09-22,2939864.2,52917.56,626574.2,21303.52,1455028.9,17460.35,2051903.1,22570.93,2712015.4,24408.14,1453892.4,10177.25,256315.6,20505.25,1468217.0,0.679,1.1608,0.9659,1.0,61414.48,20.7674,20100000
New York,2024-09-29,3392920.5,61072.57,814618.0,27697.01,1457044.1,17484.53,2138008.9,23518.1,2205885.3,19852.97,1397567.1,9782.97,245205.1,19616.41,1441090.6,0.642,1.2553,1.0136,0.0,52872.9,21.7931,20100000
New York,2024-10-06,3112759.3,56029.67,757253.8,25746.63,1161116.6,13933.4,2029608.4,22325.69,2191849.2,19726.64,1216127.5,8512.89,233259.8,18660.78,1468446.3,0.5899,1.1617,0.9951,0.0,47764.76,21.3944,20100000
New York,2024-10-13,3260231.0,58684.16,729920.6,24817.3,1421105.3,17053.26,1512306.1,16635.37,1770583.4,15935.25,1226110.0,8582.77,251910.9,20152.87,1347594.5,0.5309,0.9353,0.9842,0.0,51536.56,21.1596,20100000
New York,2024-10-20,2414897.4,43468.15,638158.8,21697.4,1012647.4,12151.77,1573377.0,17307.15,1804602.6,16241.42,1364790.1,9553.53,243240.1,19459.21,1280624.0,0.4728,0.8455,1.0063,0.0,46325.75,21.6352,20100000
New York,2024-10-27,2251348.1,40524.27,594955.2,20228.48,1089563.6,13074.76,1723577.9,18959.36,2171796.1,19546.16,1194750.0,8363.25,211100.8,16888.07,1247404.1,0.4214,1.0435,0.9884,0.0,43658.61,21.2501,20100000
New York,2024-11-03,2748110.1,49465.98,629712.7,21410.23,965467.3,11585.61,1715701.6,18872.72,1982538.0,17842.84,1287768.3,9014.38,180828.7,14466.3,1208099.0,0.3802,0.9613,1.0154,0.0,44117.04,21.831,20100000
New York,2024-11-10,2588943.0,46600.97,567144.7,19282.92,1125039.2,13500.47,1521009.0,16731.1,2004391.7,18039.53,1201639.3,8411.48,209606.5,16768.52,1133641.5,0.3497,0.945,1.0198,0.0,42282.85,21.9249,20100000
New York,2024-11-17,2009261.2,36166.7,602869.7,20497.57,1049775.2,12597.3,1565812.5,17223.94,2052139.2,18469.25,1170624.5,8194.37,153219.7,12257.58,980222.4,0.329,0.911,0.9974,0.0,39913.02,21.4445,20100000
New York,2024-11-24,2450360.1,44106.48,491645.7,16715.95,888269.6,10659.23,1667857.7,18346.43,1462500.8,13162.51,1503234.3,10522.64,205869.3,16469.55,1197114.0,0.3159,0.7347,0.9981,0.0,41750.11,21.4594,20100000
New York,2024-12-01,2204584.6,39682.52,499818.1,16993.81,1111705.6,13340.47,1226267.9,13488.95,1617935.6,14561.42,1167311.8,8171.18,183470.4,14677.63,1067228.0,0.3082,0.8448,0.9941,0.0,38329.46,21.3738,20100000
New York,2024-12-08,2238550.5,40293.91,449895.3,15296.44,947915.8,11374.99,1389203.7,15281.24,1623170.4,14608.53,1309354.2,9165.48,194491.6,15559.32,1130476.8,0.3039,0.912,0.9853,0.0,42709.79,21.1846,20100000
New York,2024-12-15,2535142.1,45632.56,574027.8,19516.94,900890.5,10810.69,1340616.7,14746.78,1585368.5,14268.32,1293945.5,9057.62,187267.8,14981.42,1087242.9,0.3018,0.7467,0.9977,0.0,38997.25,21.4505,20100000
New York,2024-12-22,2422021.1,43596.38,475244.6,16158.32,968544.4,11622.53,1424628.5,15670.91,1699298.8,15293.69,1334020.9,9338.15,168005.2,13440.42,1142898.5,0.3008,0.8788,1.0093,0.0,41155.64,21.7007,20100000
New York,2024-12-29,2131222.3,38362.0,519009.5,17646.32,845562.4,10146.75,1524201.4,16766.22,1509446.7,13585.02,1452071.9,10164.5,149214.0,11937.12,1053402.4,0.3003,0.8701,1.0148,0.0,37380.53,21.8174,20100000
New York,2025-01-05,2201407.5,39625.33,555267.9,18879.11,1188181.7,14258.18,1561439.6,17175.84,1850848.6,16657.64,1470090.6,10290.63,201454.8,16116.38,1027969.0,0.305,0.7853,0.9803,0.0,39337.78,21.0772,20100000
New York,2025-01-12,2522075.2,45397.35,597386.1,20311.13,1074763.7,12897.16,1528022.3,16808.25,1914981.3,17234.83,1504031.0,10528.22,186009.1,14880.73,978936.5,0.3096,0.8691,0.9942,0.0,38061.87,21.3757,20100000
New York,2025-01-19,1926310.2,34673.58,449707.0,15290.04,1162021.6,13944.26,1326242.2,14588.66,1810295.7,16292.66,1494360.1,10460.52,187850.2,15028.01,1040451.6,0.3178,0.8633,0.9555,1.0,47355.35,20.5437,20100000
New York,2025-01-26,2022694.7,36408.5,524004.6,17816.15,1042815.6,12513.79,1383399.3,15217.39,1520555.1,13685.0,1416831.3,9917.82,204279.5,16342.36,1132741.3,0.3312,0.9406,0.939,1.0,44172.9,20.1885,20100000
New York,2025-02-02,2498523.0,44973.41,511543.1,17392.46,1101917.0,13223.0,1777090.1,19547.99,1906857.3,17161.72,1310215.4,9171.51,190181.2,15214.49,1214773.2,0.3524,0.8442,1.0117,0.0,42769.91,21.7526,20100000
