week_start,region,channel,spend_sgd,impressions,conversions,revenue_sgd,population,sentiment_index,competitor_spend_sgd
2025-01-13,West,TikTok,17294,515616,4588,254715,1500000,0.47,79604
2025-01-20,North,Meta,23834,522262,4777,249255,1800000,0.461,72048
2025-01-20,North,YouTube,22661,872950,4777,249255,1800000,0.461,72048
2025-01-20,North,TV,50780,834237,4777,249255,1800000,0.461,72048
2025-01-20,North,Paid Search,20725,284282,4777,249255,1800000,0.461,72048
2025-01-20,North,TikTok,19385,695080,4777,249255,1800000,0.461,72048
2025-01-20,South,Meta,24604,797178,4209,251039,1200000,0.483,70449
2025-01-20,South,YouTube,23858,785311,4209,251039,1200000,0.483,70449
2025-01-20,South,TV,42191,338300,4209,251039,1200000,0.483,70449
2025-01-20,South,Paid Search,18532,159806,4209,251039,1200000,0.483,70449
2025-01-20,South,TikTok,19539,705731,4209,251039,1200000,0.483,70449
2025-01-20,East,Meta,38125,1460278,4087,211342,900000,0.463,42896
2025-01-20,East,YouTube,17513,412461,4087,211342,900000,0.463,42896
2025-01-20,East,TV,30726,993656,4087,211342,900000,0.463,42896
2025-01-20,East,Paid Search,24022,290871,4087,211342,900000,0.463,42896
2025-01-20,East,TikTok,15308,391789,4087,211342,900000,0.463,42896
2025-01-20,West,Meta,25703,649193,4416,225860,1500000,0.497,61157
2025-01-20,West,YouTube,26523,382908,4416,225860,1500000,0.497,61157
2025-01-20,West,TV,36755,1464495,4416,225860,1500000,0.497,61157
2025-01-20,West,Paid Search,22581,497216,4416,225860,1500000,0.497,61157
2025-01-20,West,TikTok,15702,186416,4416,225860,1500000,0.497,61157
2025-01-27,North,Meta,26479,398428,4422,225519,1800000,0.477,69415
2025-01-27,North,YouTube,17597,496153,4422,225519,1800000,0.477,69415
2025-01-27,North,TV,35276,1304275,4422,225519,1800000,0.477,69415
2025-01-27,North,Paid Search,25609,262939,4422,225519,1800000,0.477,69415
2025-01-27,North,TikTok,13314,391529,4422,225519,1800000,0.477,69415
2025-01-27,South,Meta,32943,761822,4336,249004,1200000,0.465,86776
2025-01-27,South,YouTube,27744,938854,4336,249004,1200000,0.465,86776
2025-01-27,South,TV,34302,380813,4336,249004,1200000,0.465,86776
2025-01-27,South,Paid Search,20192,435229,4336,249004,1200000,0.465,86776
2025-01-27,South,TikTok,15485,485152,4336,249004,1200000,0.465,86776
2025-01-27,East,Meta,29750,561016,4014,217574,900000,0.516,44921
2025-01-27,East,YouTube,28839,460184,4014,217574,900000,0.516,44921
2025-01-27,East,TV,34297,766731,4014,217574,900000,0.516,44921
2025-01-27,East,Paid Search,20077,339571,4014,217574,900000,0.516,44921
2025-01-27,East,TikTok,13426,504072,4014,217574,900000,0.516,44921
2025-01-27,West,Meta,23076,922510,4434,216472,1500000,0.508,67516
2025-01-27,West,YouTube,28474,1110710,4434,216472,1500000,0.508,67516
2025-01-27,West,TV,52905,1860048,4434,216472,1500000,0.508,67516
2025-01-27,West,Paid Search,16847,396587,4434,216472,1500000,0.508,67516
2025-01-27,West,TikTok,13085,272604,4434,216472,1500000,0.508,67516
2025-02-03,North,Meta,27570,912298,4857,299006,1800000,0.491,89265
2025-02-03,North,YouTube,23419,504357,4857,299006,1800000,0.491,89265
2025-02-03,North,TV,54529,2173173,4857,299006,1800000,0.491,89265
2025-02-03,North,Paid Search,22110,685168,4857,299006,1800000,0.491,89265
2025-02-03,North,TikTok,12722,222567,4857,299006,1800000,0.491,89265
2025-02-03,South,Meta,36866,362367,4934,283473,1200000,0.503,67110
2025-02-03,South,YouTube,25284,609122,4934,283473,1200000,0.503,67110
2025-02-03,South,TV,51844,675934,4934,283473,1200000,0.503,67110
2025-02-03,South,Paid Search,27309,288480,4934,283473,1200000,0.503,67110
2025-02-03,South,TikTok,13021,352102,4934,283473,1200000,0.503,67110
2025-02-03,East,Meta,39606,628899,4398,225800,900000,0.482,45994
2025-02-03,East,YouTube,25433,707551,4398,225800,900000,0.482,45994
2025-02-03,East,TV,40715,1086175,4398,225800,900000,0.482,45994
2025-02-03,East,Paid Search,21687,822167,4398,225800,900000,0.482,45994
2025-02-03,East,TikTok,13198,408058,4398,225800,900000,0.482,45994
2025-02-03,West,Meta,28240,511643,4765,290978,1500000,0.492,73585
2025-02-03,West,YouTube,27706,285964,4765,290978,1500000,0.492,73585
2025-02-03,West,TV,41717,1666617,4765,290978,1500000,0.492,73585
2025-02-03,West,Paid Search,27762,287180,4765,290978,1500000,0.492,73585
2025-02-03,West,TikTok,13284,219006,4765,290978,1500000,0.492,73585
2025-02-10,North,Meta,30008,391541,5199,297837,1800000,0.531,83964
2025-02-10,North,YouTube,29307,894253,5199,297837,1800000,0.531,83964
2025-02-10,North,TV,46317,1833758,5199,297837,1800000,0.531,83964
2025-02-10,North,Paid Search,23709,195607,5199,297837,1800000,0.531,83964
2025-02-10,North,TikTok,19375,340615,5199,297837,1800000,0.531,83964
2025-02-10,South,Meta,25044,286131,4170,253014,1200000,0.535,46715
2025-02-10,South,YouTube,25197,421171,4170,253014,1200000,0.535,46715
2025-02-10,South,TV,46139,1428629,4170,253014,1200000,0.535,46715
2025-02-10,South,Paid Search,17844,504907,4170,253014,1200000,0.535,46715
2025-02-10,South,TikTok,13973,330224,4170,253014,1200000,0.535,46715
2025-02-10,East,Meta,31063,523529,4266,209262,900000,0.529,44615
2025-02-10,East,YouTube,17144,560194,4266,209262,900000,0.529,44615
2025-02-10,East,TV,46980,769653,4266,209262,900000,0.529,44615
2025-02-10,East,Paid Search,24846,637394,4266,209262,900000,0.529,44615
2025-02-10,East,TikTok,15572,129394,4266,209262,900000,0.529,44615
2025-02-10,West,Meta,33447,1160846,4887,248949,1500000,0.531,85196
2025-02-10,West,YouTube,25626,326450,4887,248949,1500000,0.531,85196
2025-02-10,West,TV,33705,602115,4887,248949,1500000,0.531,85196
2025-02-10,West,Paid Search,26900,900502,4887,248949,1500000,0.531,85196
2025-02-10,West,TikTok,19801,727995,4887,248949,1500000,0.531,85196
2025-02-17,North,Meta,38528,1398270,5196,251211,1800000,0.503,45140
2025-02-17,North,YouTube,23348,650503,5196,251211,1800000,0.503,45140
2025-02-17,North,TV,34863,1316294,5196,251211,1800000,0.503,45140
2025-02-17,North,Paid Search,26800,1051594,5196,251211,1800000,0.503,45140
2025-02-17,North,TikTok,19567,708429,5196,251211,1800000,0.503,45140
2025-02-17,South,Meta,41510,1397705,4764,283135,1200000,0.532,56609
2025-02-17,South,YouTube,30142,1023139,4764,283135,1200000,0.532,56609
2025-02-17,South,TV,37825,1255638,4764,283135,1200000,0.532,56609
2025-02-17,South,Paid Search,16819,603959,4764,283135,1200000,0.532,56609
2025-02-17,South,TikTok,20040,302962,4764,283135,1200000,0.532,56609
2025-02-17,East,Meta,38829,593426,4554,281146,900000,0.516,55260
2025-02-17,East,YouTube,17668,250535,4554,281146,900000,0.516,55260
2025-02-17,East,TV,39447,1406652,4554,281146,900000,0.516,55260
2025-02-17,East,Paid Search,28149,476619,4554,281146,900000,0.516,55260
2025-02-17,East,TikTok,17892,371969,4554,281146,900000,0.516,55260
2025-02-17,West,Meta,25371,990809,4229,233271,1500000,0.52,86962
2025-02-17,West,YouTube,19967,774742,4229,233271,1500000,0.52,86962
2025-02-17,West,TV,37790,433409,4229,233271,1500000,0.52,86962
2025-02-17,West,Paid Search,21126,661528,4229,233271,1500000,0.52,86962
2025-02-17,West,TikTok,14648,401336,4229,233271,1500000,0.52,86962
2025-02-24,North,Meta,28458,873124,4804,275266,1800000,0.52,68829
2025-02-24,North,YouTube,17544,659977,4804,275266,1800000,0.52,68829
2025-02-24,North,TV,45518,1412048,4804,275266,1800000,0.52,68829
2025-02-24,North,Paid Search,25475,750496,4804,275266,1800000,0.52,68829
2025-02-24,North,TikTok,15325,156915,4804,275266,1800000,0.52,68829
2025-02-24,South,Meta,40336,1251712,4585,263557,1200000,0.517,55696
2025-02-24,South,YouTube,22028,394238,4585,263557,1200000,0.517,55696
2025-02-24,South,TV,42046,877786,4585,263557,1200000,0.517,55696
2025-02-24,South,Paid Search,19518,235645,4585,263557,1200000,0.517,55696
2025-02-24,South,TikTok,15888,605200,4585,263557,1200000,0.517,55696
2025-02-24,East,Meta,29383,750265,4152,226801,900000,0.551,70776
2025-02-24,East,YouTube,17524,301084,4152,226801,900000,0.551,70776
2025-02-24,East,TV,42619,1131940,4152,226801,900000,0.551,70776
2025-02-24,East,Paid Search,24310,556204,4152,226801,900000,0.551,70776
2025-02-24,East,TikTok,16105,238973,4152,226801,900000,0.551,70776
2025-02-24,West,Meta,26755,286639,4605,222615,1500000,0.551,79801
2025-02-24,West,YouTube,25258,713642,4605,222615,1500000,0.551,79801
2025-02-24,West,TV,40091,1370693,4605,222615,1500000,0.551,79801
2025-02-24,West,Paid Search,25598,755895,4605,222615,1500000,0.551,79801
2025-02-24,West,TikTok,13928,200175,4605,222615,1500000,0.551,79801
2025-03-03,North,Meta,40776,421237,5140,300759,1800000,0.519,63757
2025-03-03,North,YouTube,23980,675097,5140,300759,1800000,0.519,63757
2025-03-03,North,TV,36699,1111368,5140,300759,1800000,0.519,63757
2025-03-03,North,Paid Search,22393,353977,5140,300759,1800000,0.519,63757
2025-03-03,North,TikTok,18430,150710,5140,300759,1800000,0.519,63757
2025-03-03,South,Meta,32190,438697,4848,299754,1200000,0.55,45329
2025-03-03,South,YouTube,32223,791869,4848,299754,1200000,0.55,45329
2025-03-03,South,TV,32811,524134,4848,299754,1200000,0.55,45329
2025-03-03,South,Paid Search,27165,614113,4848,299754,1200000,0.55,45329
2025-03-03,South,TikTok,19899,584284,4848,299754,1200000,0.55,45329
2025-03-03,East,Meta,41619,1148887,5163,265695,900000,0.54,87502
2025-03-03,East,YouTube,28603,690845,5163,265695,900000,0.54,87502
2025-03-03,East,TV,53851,1374918,5163,265695,900000,0.54,87502
2025-03-03,East,Paid Search,27824,884719,5163,265695,900000,0.54,87502
2025-03-03,East,TikTok,16596,270417,5163,265695,900000,0.54,87502
2025-03-03,West,Meta,34134,957662,4491,259199,1500000,0.542,78291
2025-03-03,West,YouTube,21859,229071,4491,259199,1500000,0.542,78291
2025-03-03,West,TV,39161,653788,4491,259199,1500000,0.542,78291
2025-03-03,West,Paid Search,20038,506658,4491,259199,1500000,0.542,78291
2025-03-03,West,TikTok,13195,203208,4491,259199,1500000,0.542,78291
2025-03-10,North,Meta,32100,814170,5158,275052,1800000,0.553,43211
2025-03-10,North,YouTube,24200,353773,5158,275052,1800000,0.553,43211
2025-03-10,North,TV,43142,1594305,5158,275052,1800000,0.553,43211
2025-03-10,North,Paid Search,23799,720080,5158,275052,1800000,0.553,43211
2025-03-10,North,TikTok,20629,670422,5158,275052,1800000,0.553,43211
2025-03-10,South,Meta,39153,1382506,5147,249147,1200000,0.511,57588
2025-03-10,South,YouTube,32423,694134,5147,249147,1200000,0.511,57588
2025-03-10,South,TV,52042,1325834,5147,249147,1200000,0.511,57588
2025-03-10,South,Paid Search,24060,362277,5147,249147,1200000,0.511,57588
2025-03-10,South,TikTok,14132,310151,5147,249147,1200000,0.511,57588
2025-03-10,East,Meta,32033,425444,4313,215218,900000,0.53,73957
2025-03-10,East,YouTube,24990,301981,4313,215218,900000,0.53,73957
2025-03-10,East,TV,48637,431066,4313,215218,900000,0.53,73957
2025-03-10,East,Paid Search,21216,552900,4313,215218,900000,0.53,73957
2025-03-10,East,TikTok,12171,347701,4313,215218,900000,0.53,73957
2025-03-10,West,Meta,31519,465634,4757,264260,1500000,0.538,42514
2025-03-10,West,YouTube,22840,739088,4757,264260,1500000,0.538,42514
2025-03-10,West,TV,42026,1347535,4757,264260,1500000,0.538,42514
2025-03-10,West,Paid Search,27168,436663,4757,264260,1500000,0.538,42514
2025-03-10,West,TikTok,12730,109736,4757,264260,1500000,0.538,42514
2025-03-17,North,Meta,37289,1230517,5195,290378,1800000,0.575,57498
2025-03-17,North,YouTube,27992,899536,5195,290378,1800000,0.575,57498
2025-03-17,North,TV,57914,832777,5195,290378,1800000,0.575,57498
2025-03-17,North,Paid Search,16242,209136,5195,290378,1800000,0.575,57498
2025-03-17,North,TikTok,13268,390380,5195,290378,1800000,0.575,57498
2025-03-17,South,Meta,39686,530572,4826,277412,1200000,0.528,74973
2025-03-17,South,YouTube,27307,872011,4826,277412,1200000,0.528,74973
2025-03-17,South,TV,35061,1199705,4826,277412,1200000,0.528,74973
2025-03-17,South,Paid Search,29164,334195,4826,277412,1200000,0.528,74973
2025-03-17,South,TikTok,12236,220035,4826,277412,1200000,0.528,74973
2025-03-17,East,Meta,38621,402890,4589,270553,900000,0.572,59833
2025-03-17,East,YouTube,28590,802572,4589,270553,900000,0.572,59833
2025-03-17,East,TV,34716,1135886,4589,270553,900000,0.572,59833
2025-03-17,East,Paid Search,27598,751029,4589,270553,900000,0.572,59833
2025-03-17,East,TikTok,13215,521768,4589,270553,900000,0.572,59833
2025-03-17,West,Meta,31551,763242,5338,288769,1500000,0.536,61419
2025-03-17,West,YouTube,23212,816747,5338,288769,1500000,0.536,61419
2025-03-17,West,TV,54431,619275,5338,288769,1500000,0.536,61419
2025-03-17,West,Paid Search,29110,824940,5338,288769,1500000,0.536,61419
2025-03-17,West,TikTok,20477,627290,5338,288769,1500000,0.536,61419
2025-03-24,North,Meta,29628,1003274,5023,303102,1800000,0.562,88274
2025-03-24,North,YouTube,26367,618884,5023,303102,1800000,0.562,88274
2025-03-24,North,TV,44054,1382980,5023,303102,1800000,0.562,88274
2025-03-24,North,Paid Search,19729,695542,5023,303102,1800000,0.562,88274
2025-03-24,North,TikTok,20595,221874,5023,303102,1800000,0.562,88274
2025-03-24,South,Meta,36644,737558,4755,246631,1200000,0.533,63235
2025-03-24,South,YouTube,18488,651341,4755,246631,1200000,0.533,63235
2025-03-24,South,TV,37078,548303,4755,246631,1200000,0.533,63235
2025-03-24,South,Paid Search,27007,510185,4755,246631,1200000,0.533,63235
2025-03-24,South,TikTok,21106,642422,4755,246631,1200000,0.533,63235
2025-03-24,East,Meta,25824,801639,4291,247526,900000,0.519,87403
2025-03-24,East,YouTube,25600,825888,4291,247526,900000,0.519,87403
2025-03-24,East,TV,51067,1464034,4291,247526,900000,0.519,87403
2025-03-24,East,Paid Search,22787,760490,4291,247526,900000,0.519,87403
2025-03-24,East,TikTok,12989,196018,4291,247526,900000,0.519,87403
2025-03-24,West,Meta,33818,845095,4605,228748,1500000,0.536,69078
2025-03-24,West,YouTube,24625,784797,4605,228748,1500000,0.536,69078
2025-03-24,West,TV,41173,1255421,4605,228748,1500000,0.536,69078
2025-03-24,West,Paid Search,19763,317096,4605,228748,1500000,0.536,69078
2025-03-24,West,TikTok,13273,187981,4605,228748,1500000,0.536,69078
2025-03-31,North,Meta,27956,417224,5065,255844,1800000,0.552,78109
2025-03-31,North,YouTube,25605,798536,5065,255844,1800000,0.552,78109
2025-03-31,North,TV,59098,1464944,5065,255844,1800000,0.552,78109
2025-03-31,North,Paid Search,19986,224180,5065,255844,1800000,0.552,78109
2025-03-31,North,TikTok,14071,214997,5065,255844,1800000,0.552,78109
2025-03-31,South,Meta,29800,1167488,4492,243316,1200000,0.521,66707
2025-03-31,South,YouTube,26678,808806,4492,243316,1200000,0.521,66707
2025-03-31,South,TV,35651,1275976,4492,243316,1200000,0.521,66707
2025-03-31,South,Paid Search,22852,821005,4492,243316,1200000,0.521,66707
2025-03-31,South,TikTok,17999,414350,4492,243316,1200000,0.521,66707
2025-03-31,East,Meta,43589,1015072,4530,280474,900000,0.531,42569
2025-03-31,East,YouTube,30846,642295,4530,280474,900000,0.531,42569
2025-03-31,East,TV,34212,962803,4530,280474,900000,0.531,42569
2025-03-31,East,Paid Search,16824,214915,4530,280474,900000,0.531,42569
2025-03-31,East,TikTok,17883,316936,4530,280474,900000,0.531,42569
2025-03-31,West,Meta,36666,1221114,5045,285218,1500000,0.527,78222
2025-03-31,West,YouTube,21596,533903,5045,285218,1500000,0.527,78222
2025-03-31,West,TV,44592,988474,5045,285218,1500000,0.527,78222
2025-03-31,West,Paid Search,27944,1108846,5045,285218,1500000,0.527,78222
2025-03-31,West,TikTok,15221,424253,5045,285218,1500000,0.527,78222
2025-04-07,North,Meta,28451,419732,4696,240626,1800000,0.564,87380
2025-04-07,North,YouTube,28366,369491,4696,240626,1800000,0.564,87380
2025-04-07,North,TV,36997,384846,4696,240626,1800000,0.564,87380
2025-04-07,North,Paid Search,16137,361729,4696,240626,1800000,0.564,87380
2025-04-07,North,TikTok,18221,315593,4696,240626,1800000,0.564,87380
2025-04-07,South,Meta,33548,1006316,5243,318343,1200000,0.562,75149
2025-04-07,South,YouTube,32456,1077880,5243,318343,1200000,0.562,75149
2025-04-07,South,TV,49452,1441914,5243,318343,1200000,0.562,75149
2025-04-07,South,Paid Search,28985,626205,5243,318343,1200000,0.562,75149
2025-04-07,South,TikTok,17711,508736,5243,318343,1200000,0.562,75149
2025-04-07,East,Meta,27585,492215,4614,253369,900000,0.569,43570
2025-04-07,East,YouTube,29740,779623,4614,253369,900000,0.569,43570
2025-04-07,East,TV,40166,481161,4614,253369,900000,0.569,43570
2025-04-07,East,Paid Search,25604,778143,4614,253369,900000,0.569,43570
2025-04-07,East,TikTok,21832,524298,4614,253369,900000,0.569,43570
2025-04-07,West,Meta,33093,606075,5319,275381,1500000,0.525,41993
2025-04-07,West,YouTube,21999,240283,5319,275381,1500000,0.525,41993
2025-04-07,West,TV,58749,2041567,5319,275381,1500000,0.525,41993
2025-04-07,West,Paid Search,24038,923664,5319,275381,1500000,0.525,41993
2025-04-07,West,TikTok,22421,661711,5319,275381,1500000,0.525,41993
2025-04-14,North,Meta,33857,976717,5346,306763,1800000,0.521,77813
2025-04-14,North,YouTube,32304,446042,5346,306763,1800000,0.521,77813
2025-04-14,North,TV,48309,1367778,5346,306763,1800000,0.521,77813
2025-04-14,North,Paid Search,22864,249669,5346,306763,1800000,0.521,77813
2025-04-14,North,TikTok,15661,292326,5346,306763,1800000,0.521,77813
2025-04-14,South,Meta,38472,662602,5168,285296,1200000,0.57,56490
2025-04-14,South,YouTube,32755,1114787,5168,285296,1200000,0.57,56490
2025-04-14,South,TV,47338,1067682,5168,285296,1200000,0.57,56490
2025-04-14,South,Paid Search,20421,374618,5168,285296,1200000,0.57,56490
2025-04-14,South,TikTok,22095,462528,5168,285296,1200000,0.57,56490
2025-04-14,East,Meta,35348,750223,4775,258488,900000,0.578,72883
2025-04-14,East,YouTube,21005,411214,4775,258488,900000,0.578,72883
2025-04-14,East,TV,53027,1485450,4775,258488,900000,0.578,72883
2025-04-14,East,Paid Search,26563,385532,4775,258488,900000,0.578,72883
2025-04-14,East,TikTok,17743,668654,4775,258488,900000,0.578,72883
2025-04-14,West,Meta,44252,1216217,5127,254527,1500000,0.56,46071
2025-04-14,West,YouTube,21807,284976,5127,254527,1500000,0.56,46071
2025-04-14,West,TV,47358,1215777,5127,254527,1500000,0.56,46071
2025-04-14,West,Paid Search,17370,690496,5127,254527,1500000,0.56,46071
2025-04-14,West,TikTok,21503,489544,5127,254527,1500000,0.56,46071
2025-04-21,North,Meta,38836,943090,5654,340996,1800000,0.565,64919
2025-04-21,North,YouTube,22273,773122,5654,340996,1800000,0.565,64919
2025-04-21,North,TV,59030,932638,5654,340996,1800000,0.565,64919
2025-04-21,North,Paid Search,23618,478849,5654,340996,1800000,0.565,64919
2025-04-21,North,TikTok,21534,522495,5654,340996,1800000,0.565,64919
2025-04-21,South,Meta,40350,858574,5356,268230,1200000,0.567,53812
2025-04-21,South,YouTube,32493,787877,5356,268230,1200000,0.567,53812
2025-04-21,South,TV,54639,931641,5356,268230,1200000,0.567,53812
2025-04-21,South,Paid Search,20143,539470,5356,268230,1200000,0.567,53812
2025-04-21,South,TikTok,22329,528494,5356,268230,1200000,0.567,53812
2025-04-21,East,Meta,35440,899813,4539,265195,900000,0.548,57256
2025-04-21,East,YouTube,25086,458995,4539,265195,900000,0.548,57256
2025-04-21,East,TV,37265,1129873,4539,265195,900000,0.548,57256
2025-04-21,East,Paid Search,23900,369829,4539,265195,900000,0.548,57256
2025-04-21,East,TikTok,20026,188179,4539,265195,900000,0.548,57256
2025-04-21,West,Meta,32020,936202,5162,279596,1500000,0.558,80570
2025-04-21,West,YouTube,30738,1210652,5162,279596,1500000,0.558,80570
2025-04-21,West,TV,45697,419710,5162,279596,1500000,0.558,80570
2025-04-21,West,Paid Search,22944,616867,5162,279596,1500000,0.558,80570
2025-04-21,West,TikTok,20997,755348,5162,279596,1500000,0.558,80570
2025-04-28,North,Meta,38773,818859,5307,318063,1800000,0.542,62846
2025-04-28,North,YouTube,28038,362799,5307,318063,1800000,0.542,62846
2025-04-28,North,TV,44775,1746875,5307,318063,1800000,0.542,62846
2025-04-28,North,Paid Search,20596,621310,5307,318063,1800000,0.542,62846
2025-04-28,North,TikTok,18641,657216,5307,318063,1800000,0.542,62846
2025-04-28,South,Meta,30445,943763,4723,255399,1200000,0.562,59000
2025-04-28,South,YouTube,29649,1064881,4723,255399,1200000,0.562,59000
2025-04-28,South,TV,32909,335325,4723,255399,1200000,0.562,59000
2025-04-28,South,Paid Search,24600,921755,4723,255399,1200000,0.562,59000
2025-04-28,South,TikTok,22209,708390,4723,255399,1200000,0.562,59000
2025-04-28,East,Meta,41855,929085,4377,244775,900000,0.517,71687
2025-04-28,East,YouTube,28642,1057164,4377,244775,900000,0.517,71687
2025-04-28,East,TV,33186,1110954,4377,244775,900000,0.517,71687
2025-04-28,East,Paid Search,19978,399458,4377,244775,900000,0.517,71687
2025-04-28,East,TikTok,13467,336639,4377,244775,900000,0.517,71687
2025-04-28,West,Meta,25566,916972,4888,289687,1500000,0.558,48499
2025-04-28,West,YouTube,27498,431899,4888,289687,1500000,0.558,48499
2025-04-28,West,TV,56908,715889,4888,289687,1500000,0.558,48499
2025-04-28,West,Paid Search,22273,359203,4888,289687,1500000,0.558,48499
2025-04-28,West,TikTok,14593,121132,4888,289687,1500000,0.558,48499
2025-05-05,North,Meta,27010,597876,4725,258764,1800000,0.559,73881
2025-05-05,North,YouTube,23127,619857,4725,258764,1800000,0.559,73881
2025-05-05,North,TV,49090,1059258,4725,258764,1800000,0.559,73881
2025-05-05,North,Paid Search,19259,675023,4725,258764,1800000,0.559,73881
2025-05-05,North,TikTok,13926,282840,4725,258764,1800000,0.559,73881
2025-05-05,South,Meta,35510,1412096,4885,275952,1200000,0.519,68596
2025-05-05,South,YouTube,22357,878501,4885,275952,1200000,0.519,68596
2025-05-05,South,TV,49615,832707,4885,275952,1200000,0.519,68596
2025-05-05,South,Paid Search,23553,705308,4885,275952,1200000,0.519,68596
2025-05-05,South,TikTok,19487,186479,4885,275952,1200000,0.519,68596
2025-05-05,East,Meta,29625,994319,4653,264269,900000,0.535,85208
2025-05-05,East,YouTube,27126,522834,4653,264269,900000,0.535,85208
2025-05-05,East,TV,49027,1366310,4653,264269,900000,0.535,85208
2025-05-05,East,Paid Search,25073,779011,4653,264269,900000,0.535,85208
2025-05-05,East,TikTok,18615,648301,4653,264269,900000,0.535,85208
2025-05-05,West,Meta,30089,665158,4632,285335,1500000,0.559,72317
2025-05-05,West,YouTube,26705,839485,4632,285335,1500000,0.559,72317
2025-05-05,West,TV,34169,596028,4632,285335,1500000,0.559,72317
2025-05-05,West,Paid Search,26021,354419,4632,285335,1500000,0.559,72317
2025-05-05,West,TikTok,13242,334507,4632,285335,1500000,0.559,72317
2025-05-12,North,Meta,40386,655184,5638,346912,1800000,0.53,85674
2025-05-12,North,YouTube,30202,707305,5638,346912,1800000,0.53,85674
2025-05-12,North,TV,53202,1696606,5638,346912,1800000,0.53,85674
2025-05-12,North,Paid Search,20295,237156,5638,346912,1800000,0.53,85674
2025-05-12,North,TikTok,21532,269241,5638,346912,1800000,0.53,85674
2025-05-12,South,Meta,43409,1690895,5311,298392,1200000,0.549,76211
2025-05-12,South,YouTube,29897,589114,5311,298392,1200000,0.549,76211
2025-05-12,South,TV,52775,445706,5311,298392,1200000,0.549,76211
2025-05-12,South,Paid Search,22962,517865,5311,298392,1200000,0.549,76211
2025-05-12,South,TikTok,18599,548948,5311,298392,1200000,0.549,76211
2025-05-12,East,Meta,25783,399180,4068,212474,900000,0.547,87015
2025-05-12,East,YouTube,18074,656005,4068,212474,900000,0.547,87015
2025-05-12,East,TV,46594,1737406,4068,212474,900000,0.547,87015
2025-05-12,East,Paid Search,18713,187559,4068,212474,900000,0.547,87015
2025-05-12,East,TikTok,20126,746683,4068,212474,900000,0.547,87015
2025-05-12,West,Meta,42728,757980,5405,291155,1500000,0.522,46989
2025-05-12,West,YouTube,25166,279598,5405,291155,1500000,0.522,46989
2025-05-12,West,TV,55379,683446,5405,291155,1500000,0.522,46989
2025-05-12,West,Paid Search,21844,643427,5405,291155,1500000,0.522,46989
2025-05-12,West,TikTok,19310,739016,5405,291155,1500000,0.522,46989
