Date,DMA,Medium,Cost,Impressions,Orders,Revenue,Population,BrandSentiment,CompetitorSpend
2025-01-03,East,YouTube,4518,75838,245,15028,900000,0.499,5296
2025-01-03,East,TV,7950,304747,288,14400,900000,0.499,5296
2025-01-03,East,Paid Search,1896,53847,200,11301,900000,0.499,5296
2025-01-03,East,TikTok,1918,64512,190,11198,900000,0.499,5296
2025-01-04,North,Meta,5281,104155,410,22719,1800000,0.489,5471
2025-01-04,North,YouTube,2936,76782,335,17947,1800000,0.489,5471
2025-01-04,North,TV,6243,185604,384,21924,1800000,0.489,5471
2025-01-04,North,Paid Search,3913,77886,404,20804,1800000,0.489,5471
2025-01-04,North,TikTok,2614,68919,341,16910,1800000,0.489,5471
2025-01-04,South,Meta,3928,102024,285,17083,1200000,0.517,8493
2025-01-04,South,YouTube,2622,42815,240,13039,1200000,0.517,8493
2025-01-04,South,TV,5511,219799,283,17145,1200000,0.517,8493
2025-01-04,South,Paid Search,2385,89026,261,14154,1200000,0.517,8493
2025-01-04,South,TikTok,2144,25566,240,11815,1200000,0.517,8493
2025-01-04,East,Meta,3696,70659,235,12954,900000,0.515,10919
2025-01-04,East,YouTube,2112,53538,184,9145,900000,0.515,10919
2025-01-04,East,TV,7561,266477,281,14279,900000,0.515,10919
2025-01-04,East,Paid Search,3367,126850,255,12736,900000,0.515,10919
2025-01-04,East,TikTok,2397,80056,205,12108,900000,0.515,10919
2025-01-05,North,Meta,3876,130688,371,22084,1800000,0.492,8878
2025-01-05,North,YouTube,3382,93283,347,17014,1800000,0.492,8878
2025-01-05,North,TV,3862,69119,337,20764,1800000,0.492,8878
2025-01-05,North,Paid Search,4040,125255,410,23367,1800000,0.492,8878
2025-01-05,North,TikTok,2209,72043,329,17865,1800000,0.492,8878
2025-01-05,South,Meta,5639,185909,334,16802,1200000,0.518,7412
2025-01-05,South,YouTube,3611,49914,266,13970,1200000,0.518,7412
2025-01-05,South,TV,7927,173156,332,19233,1200000,0.518,7412
2025-01-05,South,Paid Search,3835,37480,316,16699,1200000,0.518,7412
2025-01-05,South,TikTok,1514,19525,221,13519,1200000,0.518,7412
2025-01-05,East,Meta,3466,98163,229,13104,900000,0.526,10922
2025-01-05,East,YouTube,3380,40578,217,12605,900000,0.526,10922
2025-01-05,East,TV,4863,121922,227,12819,900000,0.526,10922
2025-01-05,East,Paid Search,2893,38756,237,14172,900000,0.526,10922
2025-01-05,East,TikTok,2930,37897,222,12408,900000,0.526,10922
2025-01-06,North,Meta,2762,78790,339,20812,1800000,0.526,5199
2025-01-06,North,YouTube,3456,99658,349,19112,1800000,0.526,5199
2025-01-06,North,TV,7024,149827,401,23766,1800000,0.526,5199
2025-01-06,North,Paid Search,3216,76982,380,21884,1800000,0.526,5199
2025-01-06,North,TikTok,2391,41291,336,17527,1800000,0.526,5199
2025-01-06,South,Meta,4131,97062,292,15531,1200000,0.496,5419
2025-01-06,South,YouTube,2485,68122,238,13295,1200000,0.496,5419
2025-01-06,South,TV,4920,152459,272,14271,1200000,0.496,5419
2025-01-06,South,Paid Search,3436,122132,301,16414,1200000,0.496,5419
2025-01-06,South,TikTok,2996,36505,268,13868,1200000,0.496,5419
2025-01-06,East,Meta,3612,73298,233,12809,900000,0.503,5678
2025-01-06,East,YouTube,3556,56699,222,12256,900000,0.503,5678
2025-01-06,East,TV,7479,98053,280,15395,900000,0.503,5678
2025-01-06,East,Paid Search,2494,66056,223,11667,900000,0.503,5678
2025-01-06,East,TikTok,1845,59815,188,9085,900000,0.503,5678
2025-01-07,North,Meta,5977,88965,432,23342,1800000,0.534,8538
2025-01-07,North,YouTube,2880,27698,335,20219,1800000,0.534,8538
2025-01-07,North,TV,5779,209401,377,21936,1800000,0.534,8538
2025-01-07,North,Paid Search,3259,75149,382,22421,1800000,0.534,8538
2025-01-07,North,TikTok,2240,78645,332,17637,1800000,0.534,8538
2025-01-07,South,Meta,3289,84538,268,14342,1200000,0.512,8992
2025-01-07,South,YouTube,2150,51893,229,13540,1200000,0.512,8992
2025-01-07,South,TV,7030,119166,315,16615,1200000,0.512,8992
2025-01-07,South,Paid Search,4037,120193,324,19811,1200000,0.512,8992
2025-01-07,South,TikTok,1512,59274,222,13002,1200000,0.512,8992
2025-01-07,East,Meta,4352,41125,255,12820,900000,0.504,8564
2025-01-07,East,YouTube,2316,43210,190,11755,900000,0.504,8564
2025-01-07,East,TV,5681,128525,244,14238,900000,0.504,8564
2025-01-07,East,Paid Search,3148,77114,247,12891,900000,0.504,8564
2025-01-07,East,TikTok,1877,51839,190,10015,900000,0.504,8564
2025-01-08,North,Meta,5092,89585,407,19688,1800000,0.532,8726
2025-01-08,North,YouTube,4099,81109,367,20054,1800000,0.532,8726
2025-01-08,North,TV,6626,260778,394,24246,1800000,0.532,8726
2025-01-08,North,Paid Search,3103,103939,377,22228,1800000,0.532,8726
2025-01-08,North,TikTok,2575,77295,343,20191,1800000,0.532,8726
2025-01-08,South,Meta,4655,62639,308,14866,1200000,0.522,10050
2025-01-08,South,YouTube,3610,100472,267,13989,1200000,0.522,10050
2025-01-08,South,TV,7405,94257,323,16189,1200000,0.522,10050
2025-01-08,South,Paid Search,3329,29995,298,17185,1200000,0.522,10050
2025-01-08,South,TikTok,2964,34135,268,14404,1200000,0.522,10050
2025-01-08,East,Meta,5664,178681,293,17806,900000,0.529,11444
2025-01-08,East,YouTube,2126,26402,186,9819,900000,0.529,11444
2025-01-08,East,TV,4455,81979,220,11651,900000,0.529,11444
2025-01-08,East,Paid Search,3286,81543,253,14878,900000,0.529,11444
2025-01-08,East,TikTok,1856,25134,189,10980,900000,0.529,11444
2025-01-09,North,Meta,4759,67352,398,20871,1800000,0.527,9853
2025-01-09,North,YouTube,2615,67621,330,17451,1800000,0.527,9853
2025-01-09,North,TV,4548,177978,353,21558,1800000,0.527,9853
2025-01-09,North,Paid Search,2444,42154,353,20875,1800000,0.527,9853
2025-01-09,North,TikTok,1675,51187,315,16326,1800000,0.527,9853
2025-01-09,South,Meta,3953,155610,288,14858,1200000,0.506,9736
2025-01-09,South,YouTube,4116,158661,281,15373,1200000,0.506,9736
2025-01-09,South,TV,7253,125437,320,16265,1200000,0.506,9736
2025-01-09,South,Paid Search,2421,74694,265,14718,1200000,0.506,9736
2025-01-09,South,TikTok,1918,42495,235,14350,1200000,0.506,9736
2025-01-09,East,Meta,4779,127975,268,15756,900000,0.529,5961
2025-01-09,East,YouTube,2605,76677,198,9518,900000,0.529,5961
2025-01-09,East,TV,5977,169832,251,13982,900000,0.529,5961
2025-01-09,East,Paid Search,1872,39734,201,12262,900000,0.529,5961
2025-01-09,East,TikTok,2567,28795,212,11384,900000,0.529,5961
2025-01-10,North,Meta,4306,61931,386,23590,1800000,0.541,11149
2025-01-10,North,YouTube,4509,82413,379,23038,1800000,0.541,11149
2025-01-10,North,TV,6529,241925,394,19878,1800000,0.541,11149
2025-01-10,North,Paid Search,1963,51769,336,20278,1800000,0.541,11149
2025-01-10,North,TikTok,2254,70189,334,16854,1800000,0.541,11149
2025-01-10,South,Meta,4024,95982,290,15075,1200000,0.54,11980
2025-01-10,South,YouTube,4437,172103,289,17874,1200000,0.54,11980
2025-01-10,South,TV,7839,282641,332,18461,1200000,0.54,11980
2025-01-10,South,Paid Search,1776,46486,241,13234,1200000,0.54,11980
2025-01-10,South,TikTok,1504,59342,223,13634,1200000,0.54,11980
2025-01-10,East,Meta,3307,38377,226,11403,900000,0.538,8276
2025-01-10,East,YouTube,2401,54467,193,11577,900000,0.538,8276
2025-01-10,East,TV,4711,65758,226,13686,900000,0.538,8276
2025-01-10,East,Paid Search,3477,115800,261,15550,900000,0.538,8276
2025-01-10,East,TikTok,2311,74491,204,11264,900000,0.538,8276
2025-01-11,North,Meta,3287,41086,358,17241,1800000,0.51,9685
2025-01-11,North,YouTube,2832,45135,337,19260,1800000,0.51,9685
2025-01-11,North,TV,4739,73628,359,20714,1800000,0.51,9685
2025-01-11,North,Paid Search,3525,135815,395,19304,1800000,0.51,9685
2025-01-11,North,TikTok,1850,57595,322,15989,1800000,0.51,9685
2025-01-11,South,Meta,4405,161416,302,15144,1200000,0.518,7838
2025-01-11,South,YouTube,3834,68825,274,16020,1200000,0.518,7838
2025-01-11,South,TV,4067,151765,257,14515,1200000,0.518,7838
2025-01-11,South,Paid Search,2450,67787,267,14370,1200000,0.518,7838
2025-01-11,South,TikTok,1704,20915,229,12753,1200000,0.518,7838
2025-01-11,East,Meta,4973,74541,274,13389,900000,0.525,8763
2025-01-11,East,YouTube,2631,84591,200,11133,900000,0.525,8763
2025-01-11,East,TV,7611,80828,284,15642,900000,0.525,8763
2025-01-11,East,Paid Search,2806,85641,236,13220,900000,0.525,8763
2025-01-11,East,TikTok,1456,37934,178,8917,900000,0.525,8763
2025-01-12,North,Meta,3054,44505,352,19175,1800000,0.522,8642
2025-01-12,North,YouTube,3525,38458,355,21050,1800000,0.522,8642
2025-01-12,North,TV,5924,200694,383,22262,1800000,0.522,8642
2025-01-12,North,Paid Search,2828,69071,369,19757,1800000,0.522,8642
2025-01-12,North,TikTok,2127,20946,331,19671,1800000,0.522,8642
2025-01-12,South,Meta,2804,53346,256,15033,1200000,0.539,9048
2025-01-12,South,YouTube,2152,85675,232,14314,1200000,0.539,9048
2025-01-12,South,TV,7918,80832,335,19109,1200000,0.539,9048
2025-01-12,South,Paid Search,3957,35674,323,17405,1200000,0.539,9048
2025-01-12,South,TikTok,2043,66616,240,14856,1200000,0.539,9048
2025-01-12,East,Meta,5841,116941,299,17399,900000,0.524,11087
2025-01-12,East,YouTube,3788,110524,230,11757,900000,0.524,11087
2025-01-12,East,TV,6060,175213,253,12156,900000,0.524,11087
2025-01-12,East,Paid Search,2580,35375,228,11017,900000,0.524,11087
2025-01-12,East,TikTok,2269,56550,204,10644,900000,0.524,11087
2025-01-13,North,Meta,4530,155594,394,23138,1800000,0.538,8811
2025-01-13,North,YouTube,2644,50440,333,20104,1800000,0.538,8811
2025-01-13,North,TV,4833,183640,362,17455,1800000,0.538,8811
2025-01-13,North,Paid Search,3475,40348,394,20049,1800000,0.538,8811
2025-01-13,North,TikTok,2756,59022,352,17393,1800000,0.538,8811
2025-01-13,South,Meta,5136,49088,323,19193,1200000,0.512,9184
2025-01-13,South,YouTube,3951,82467,278,16191,1200000,0.512,9184
2025-01-13,South,TV,4638,69350,269,14113,1200000,0.512,9184
2025-01-13,South,Paid Search,3802,37283,318,17926,1200000,0.512,9184
2025-01-13,South,TikTok,2216,38240,246,14124,1200000,0.512,9184
2025-01-13,East,Meta,3157,91953,223,12251,900000,0.524,7112
2025-01-13,East,YouTube,2574,45344,199,12261,900000,0.524,7112
2025-01-13,East,TV,3821,146545,209,12787,900000,0.524,7112
2025-01-13,East,Paid Search,3840,142735,275,15785,900000,0.524,7112
2025-01-13,East,TikTok,2431,52681,209,12331,900000,0.524,7112
2025-01-14,North,Meta,3186,63869,357,21973,1800000,0.526,7914
2025-01-14,North,YouTube,3997,92541,368,20535,1800000,0.526,7914
2025-01-14,North,TV,7555,133146,417,20799,1800000,0.526,7914
2025-01-14,North,Paid Search,3443,116321,394,20252,1800000,0.526,7914
2025-01-14,North,TikTok,2949,76663,358,18203,1800000,0.526,7914
2025-01-14,South,Meta,5658,62005,339,19710,1200000,0.539,11456
2025-01-14,South,YouTube,3918,55226,278,15519,1200000,0.539,11456
2025-01-14,South,TV,4811,142201,273,14936,1200000,0.539,11456
2025-01-14,South,Paid Search,3195,114879,296,17811,1200000,0.539,11456
2025-01-14,South,TikTok,1662,53806,229,12059,1200000,0.539,11456
2025-01-14,East,Meta,5977,231827,304,17893,900000,0.552,5107
2025-01-14,East,YouTube,2304,92128,192,10239,900000,0.552,5107
2025-01-14,East,TV,5805,91504,249,13812,900000,0.552,5107
2025-01-14,East,Paid Search,3199,46528,252,13363,900000,0.552,5107
2025-01-14,East,TikTok,2950,75716,226,11676,900000,0.552,5107
2025-01-15,North,Meta,3014,118758,352,18181,1800000,0.537,8481
2025-01-15,North,YouTube,3248,113262,350,21380,1800000,0.537,8481
2025-01-15,North,TV,7881,156537,424,23790,1800000,0.537,8481
2025-01-15,North,Paid Search,2756,71658,369,19869,1800000,0.537,8481
2025-01-15,North,TikTok,1725,21855,321,16093,1800000,0.537,8481
2025-01-15,South,Meta,5623,134826,338,19986,1200000,0.529,7659
2025-01-15,South,YouTube,3741,111912,274,13801,1200000,0.529,7659
2025-01-15,South,TV,4770,163568,273,15857,1200000,0.529,7659
2025-01-15,South,Paid Search,4064,115963,329,18041,1200000,0.529,7659
2025-01-15,South,TikTok,2203,29484,247,15027,1200000,0.529,7659
2025-01-15,East,Meta,2872,26085,215,10348,900000,0.538,9493
2025-01-15,East,YouTube,4253,162660,243,13385,900000,0.538,9493
2025-01-15,East,TV,6715,217961,267,14211,900000,0.538,9493
2025-01-15,East,Paid Search,2752,96214,235,13313,900000,0.538,9493
2025-01-15,East,TikTok,1743,53387,188,10779,900000,0.538,9493
2025-01-16,North,Meta,4407,36189,393,23300,1800000,0.543,8382
2025-01-16,North,YouTube,3475,29118,356,21622,1800000,0.543,8382
2025-01-16,North,TV,6073,101976,388,19205,1800000,0.543,8382
2025-01-16,North,Paid Search,4100,35049,419,20677,1800000,0.543,8382
2025-01-16,North,TikTok,2782,82261,354,17730,1800000,0.543,8382
2025-01-16,South,Meta,5572,92241,337,19260,1200000,0.526,8685
2025-01-16,South,YouTube,3062,61049,257,15424,1200000,0.526,8685
2025-01-16,South,TV,5487,143101,288,16887,1200000,0.526,8685
2025-01-16,South,Paid Search,4130,62889,331,16321,1200000,0.526,8685
2025-01-16,South,TikTok,2553,89691,258,13754,1200000,0.526,8685
2025-01-16,East,Meta,2704,36461,211,10753,900000,0.54,5393
2025-01-16,East,YouTube,3337,73031,219,13174,900000,0.54,5393
2025-01-16,East,TV,7283,190140,279,16859,900000,0.54,5393
2025-01-16,East,Paid Search,3816,42173,275,15031,900000,0.54,5393
2025-01-16,East,TikTok,2275,21298,205,9974,900000,0.54,5393
2025-01-17,North,Meta,5885,153200,436,21398,1800000,0.524,11479
2025-01-17,North,YouTube,2095,79024,322,16188,1800000,0.524,11479
2025-01-17,North,TV,5065,196355,369,18954,1800000,0.524,11479
2025-01-17,North,Paid Search,3181,102021,386,23038,1800000,0.524,11479
2025-01-17,North,TikTok,2610,54146,350,18707,1800000,0.524,11479
2025-01-17,South,Meta,5373,67047,332,19510,1200000,0.557,7322
2025-01-17,South,YouTube,4653,145049,298,18288,1200000,0.557,7322
2025-01-17,South,TV,5951,233150,297,15905,1200000,0.557,7322
2025-01-17,South,Paid Search,1912,42039,249,14649,1200000,0.557,7322
2025-01-17,South,TikTok,2835,53579,268,12975,1200000,0.557,7322
2025-01-17,East,Meta,4427,85822,260,12779,900000,0.532,11948
2025-01-17,East,YouTube,4526,98753,250,12540,900000,0.532,11948
2025-01-17,East,TV,6802,198220,270,15650,900000,0.532,11948
2025-01-17,East,Paid Search,1988,55258,208,11830,900000,0.532,11948
2025-01-17,East,TikTok,2762,85123,221,12896,900000,0.532,11948
2025-01-18,North,Meta,2701,48252,345,18269,1800000,0.536,5746
2025-01-18,North,YouTube,2978,49532,345,17010,1800000,0.536,5746
2025-01-18,North,TV,4209,58911,352,19843,1800000,0.536,5746
2025-01-18,North,Paid Search,2859,73624,374,19651,1800000,0.536,5746
2025-01-18,North,TikTok,2071,18308,333,17780,1800000,0.536,5746
2025-01-18,South,Meta,2986,109993,264,12906,1200000,0.535,7715
2025-01-18,South,YouTube,4440,174499,293,15847,1200000,0.535,7715
2025-01-18,South,TV,6305,84655,305,16438,1200000,0.535,7715
2025-01-18,South,Paid Search,2696,33546,279,15283,1200000,0.535,7715
2025-01-18,South,TikTok,1880,44706,238,11680,1200000,0.535,7715
2025-01-18,East,Meta,4918,132795,275,14489,900000,0.533,6726
2025-01-18,East,YouTube,2537,28980,199,11824,900000,0.533,6726
2025-01-18,East,TV,5030,192963,235,14108,900000,0.533,6726
2025-01-18,East,Paid Search,2581,71871,230,14177,900000,0.533,6726
2025-01-18,East,TikTok,2779,51537,221,11029,900000,0.533,6726
2025-01-19,North,Meta,3409,61546,366,21752,1800000,0.538,11631
2025-01-19,North,YouTube,4611,179825,387,20705,1800000,0.538,11631
2025-01-19,North,TV,4979,150558,368,18251,1800000,0.538,11631
2025-01-19,North,Paid Search,2966,78386,379,21184,1800000,0.538,11631
2025-01-19,North,TikTok,1779,35640,325,18295,1800000,0.538,11631
2025-01-19,South,Meta,4661,179431,312,17157,1200000,0.547,9772
2025-01-19,South,YouTube,3258,99916,263,14956,1200000,0.547,9772
2025-01-19,South,TV,5681,98410,293,15057,1200000,0.547,9772
2025-01-19,South,Paid Search,3449,117980,307,17567,1200000,0.547,9772
2025-01-19,South,TikTok,2771,58447,266,15432,1200000,0.547,9772
2025-01-19,East,Meta,6241,145637,313,17377,900000,0.557,5518
2025-01-19,East,YouTube,3095,74935,214,12184,900000,0.557,5518
2025-01-19,East,TV,7985,240625,294,14462,900000,0.557,5518
2025-01-19,East,Paid Search,3092,102973,249,14633,900000,0.557,5518
2025-01-19,East,TikTok,1989,72909,197,11270,900000,0.557,5518
2025-01-20,North,Meta,2855,112702,351,19397,1800000,0.542,9529
2025-01-20,North,YouTube,3848,79991,368,20655,1800000,0.542,9529
2025-01-20,North,TV,7200,280101,414,23206,1800000,0.542,9529
2025-01-20,North,Paid Search,2828,23579,375,20340,1800000,0.542,9529
2025-01-20,North,TikTok,1813,44131,327,17487,1800000,0.542,9529
2025-01-20,South,Meta,4494,85561,308,16747,1200000,0.558,9120
2025-01-20,South,YouTube,2088,23690,233,11859,1200000,0.558,9120
2025-01-20,South,TV,5587,216638,291,15935,1200000,0.558,9120
2025-01-20,South,Paid Search,2075,79061,257,14049,1200000,0.558,9120
2025-01-20,South,TikTok,1602,28805,230,12451,1200000,0.558,9120
2025-01-20,East,Meta,3774,128037,243,12209,900000,0.555,7232
2025-01-20,East,YouTube,2332,82025,195,10888,900000,0.555,7232
2025-01-20,East,TV,6699,198749,269,16522,900000,0.555,7232
2025-01-20,East,Paid Search,2191,86511,216,11069,900000,0.555,7232
2025-01-20,East,TikTok,1786,24258,191,10251,900000,0.555,7232
2025-01-21,North,Meta,4258,38042,392,19159,1800000,0.537,9483
2025-01-21,North,YouTube,3685,52748,365,18040,1800000,0.537,9483
2025-01-21,North,TV,6446,131774,399,24023,1800000,0.537,9483
2025-01-21,North,Paid Search,3493,50946,400,20247,1800000,0.537,9483
2025-01-21,North,TikTok,2706,91678,355,18660,1800000,0.537,9483
2025-01-21,South,Meta,5809,144568,346,20028,1200000,0.548,6836
2025-01-21,South,YouTube,3753,101718,277,14449,1200000,0.548,6836
2025-01-21,South,TV,6538,175115,311,17603,1200000,0.548,6836
2025-01-21,South,Paid Search,2637,92444,278,13674,1200000,0.548,6836
2025-01-21,South,TikTok,2463,83840,258,12868,1200000,0.548,6836
2025-01-21,East,Meta,3361,101468,231,14322,900000,0.534,7138
2025-01-21,East,YouTube,3406,72833,223,12436,900000,0.534,7138
2025-01-21,East,TV,4264,86468,220,12068,900000,0.534,7138
2025-01-21,East,Paid Search,2247,63671,219,10942,900000,0.534,7138
2025-01-21,East,TikTok,2600,74486,217,11372,900000,0.534,7138
2025-01-22,North,Meta,4004,33260,385,21114,1800000,0.55,5375
2025-01-22,North,YouTube,2401,81843,333,16369,1800000,0.55,5375
2025-01-22,North,TV,8250,199436,436,21116,1800000,0.55,5375
2025-01-22,North,Paid Search,2997,89641,382,22406,1800000,0.55,5375
2025-01-22,North,TikTok,2104,73380,337,17554,1800000,0.55,5375
2025-01-22,South,Meta,3315,75033,275,16367,1200000,0.543,8763
2025-01-22,South,YouTube,4042,131403,284,13797,1200000,0.543,8763
2025-01-22,South,TV,6257,72724,306,17768,1200000,0.543,8763
2025-01-22,South,Paid Search,2080,68232,258,14357,1200000,0.543,8763
2025-01-22,South,TikTok,2840,56060,270,16701,1200000,0.543,8763
2025-01-22,East,Meta,5421,95012,290,17211,900000,0.536,10810
2025-01-22,East,YouTube,4737,106068,257,14451,900000,0.536,10810
2025-01-22,East,TV,5288,180508,241,12751,900000,0.536,10810
2025-01-22,East,Paid Search,2862,113927,242,14024,900000,0.536,10810
2025-01-22,East,TikTok,2754,42914,222,12623,900000,0.536,10810
2025-01-23,North,Meta,3462,50622,370,22205,1800000,0.54,5975
2025-01-23,North,YouTube,2197,42240,328,20269,1800000,0.54,5975
2025-01-23,North,TV,4975,125572,371,21336,1800000,0.54,5975
2025-01-23,North,Paid Search,2590,79072,368,18155,1800000,0.54,5975
2025-01-23,North,TikTok,1881,31140,331,20349,1800000,0.54,5975
2025-01-23,South,Meta,6306,225411,361,20246,1200000,0.565,11431
2025-01-23,South,YouTube,2380,85001,242,12526,1200000,0.565,11431
2025-01-23,South,TV,4823,148378,277,14902,1200000,0.565,11431
2025-01-23,South,Paid Search,3808,123254,322,17494,1200000,0.565,11431
2025-01-23,South,TikTok,2581,61073,262,14900,1200000,0.565,11431
2025-01-23,East,Meta,4580,77417,267,14530,900000,0.569,5652
2025-01-23,East,YouTube,4577,90672,253,14496,900000,0.569,5652
2025-01-23,East,TV,8204,151555,300,15905,900000,0.569,5652
2025-01-23,East,Paid Search,1815,59482,203,9924,900000,0.569,5652
2025-01-23,East,TikTok,2683,84219,220,12206,900000,0.569,5652
2025-01-24,North,Meta,3489,57894,372,18375,1800000,0.544,8008
2025-01-24,North,YouTube,4293,80743,382,22528,1800000,0.544,8008
2025-01-24,North,TV,6422,167720,400,21774,1800000,0.544,8008
2025-01-24,North,Paid Search,2987,56752,383,19050,1800000,0.544,8008
2025-01-24,North,TikTok,2598,24809,354,21243,1800000,0.544,8008
2025-01-24,South,Meta,6195,89668,358,19048,1200000,0.553,5005
2025-01-24,South,YouTube,3913,47822,282,17104,1200000,0.553,5005
2025-01-24,South,TV,6770,88601,317,15951,1200000,0.553,5005
2025-01-24,South,Paid Search,4069,68232,332,17778,1200000,0.553,5005
2025-01-24,South,TikTok,2547,40784,261,13644,1200000,0.553,5005
2025-01-24,East,Meta,5098,155582,282,17437,900000,0.563,6639
2025-01-24,East,YouTube,2043,47516,189,10189,900000,0.563,6639
2025-01-24,East,TV,4269,65051,221,11017,900000,0.563,6639
2025-01-24,East,Paid Search,3458,28692,264,12934,900000,0.563,6639
2025-01-24,East,TikTok,2622,89535,218,11633,900000,0.563,6639
2025-01-25,North,Meta,3865,139881,383,21869,1800000,0.567,5717
2025-01-25,North,YouTube,2419,79224,335,18144,1800000,0.567,5717
2025-01-25,North,TV,7285,89319,418,24292,1800000,0.567,5717
2025-01-25,North,Paid Search,4224,53101,430,24421,1800000,0.567,5717
2025-01-25,North,TikTok,2327,19247,346,17341,1800000,0.567,5717
2025-01-25,South,Meta,5852,63050,349,17164,1200000,0.554,9806
2025-01-25,South,YouTube,2319,74389,241,13435,1200000,0.554,9806
2025-01-25,South,TV,6493,131737,312,17597,1200000,0.554,9806
2025-01-25,South,Paid Search,4152,75002,336,18986,1200000,0.554,9806
2025-01-25,South,TikTok,1617,27267,233,13725,1200000,0.554,9806
2025-01-25,East,Meta,5120,90382,283,14031,900000,0.565,10935
2025-01-25,East,YouTube,3456,83997,225,12374,900000,0.565,10935
2025-01-25,East,TV,7260,126740,282,15881,900000,0.565,10935
2025-01-25,East,Paid Search,1950,71630,209,11578,900000,0.565,10935
2025-01-25,East,TikTok,3098,73845,234,14435,900000,0.565,10935
2025-01-26,North,Meta,3213,114209,365,18860,1800000,0.579,11537
2025-01-26,North,YouTube,3602,70935,366,17772,1800000,0.579,11537
2025-01-26,North,TV,6961,225587,412,20125,1800000,0.579,11537
2025-01-26,North,Paid Search,4140,135178,427,25214,1800000,0.579,11537
2025-01-26,North,TikTok,1397,14195,317,17464,1800000,0.579,11537
2025-01-26,South,Meta,4246,129324,303,16819,1200000,0.564,8507
2025-01-26,South,YouTube,2274,57237,241,12886,1200000,0.564,8507
2025-01-26,South,TV,6636,112009,315,17917,1200000,0.564,8507
2025-01-26,South,Paid Search,2574,62707,278,16592,1200000,0.564,8507
2025-01-26,South,TikTok,1736,58777,237,13636,1200000,0.564,8507
2025-01-26,East,Meta,5392,189189,291,14455,900000,0.542,9891
2025-01-26,East,YouTube,2207,23745,193,11177,900000,0.542,9891
2025-01-26,East,TV,5754,129510,252,14571,900000,0.542,9891
2025-01-26,East,Paid Search,3300,59061,259,13026,900000,0.542,9891
2025-01-26,East,TikTok,2717,86132,222,13618,900000,0.542,9891
2025-01-27,North,Meta,5370,71651,427,20878,1800000,0.562,10481
2025-01-27,North,YouTube,2401,79223,336,19479,1800000,0.562,10481
2025-01-27,North,TV,4960,180372,373,20915,1800000,0.562,10481
2025-01-27,North,Paid Search,3703,33103,411,20171,1800000,0.562,10481
